about_faculty,amendments,brand,configuration,course_name,delivery_mode,demo,demo_tour,discounted_price,doubt_solving,duration,highlights,img,kit_contents,mode,offer_type,other_details,please_note,price,ratings,recording,requirements,reviews,runs_on,study_materials,technical_support,total_views,url,validity,video_language
"CMA Inter 2022 Syllabus Management Accounting Full Course By MEPL Classes CA Manoj Sharma in 75 Hrs approx.These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,CMA Inter 2022 Syllabus Management Accounting Full Course By MEPL Classes CA Manoj Sharma,"Google Drive with Soft Copy,Mobile App with Soft Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/channel/UCsFZTfk-d7uJeGuZWKj69jw/videos,,"Rs. 5,250.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/products/CMAInterManagementAccountingFullCourseByMEPLClassesCAManojSharma_28e830fa-7adb-479a-ba4b-ef98e6e9d8b4_1024x1024.jpg?v=1741428617,Video Lectures + Study Materials (2 Books),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 4,568.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-inter-2022-syllabus-ma-ca-divya-agarwal-and-ca-gourav-kabra,"90/180/270/365 days,from the date of activation or exam term whichever is earlier (Further Extension Not Allowed)",Hindi-English Mix
"CMA Inter 2022 Syllabus Financial Accounting Full Course By MEPL Classes CA Aditya Daima in 180 Hrs. These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,CMA Inter 2022 Syllabus Financial Accounting Full Course By MEPL Classes CA Aditya Daima,"Google Drive with Soft Copy,Mobile App with Soft Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/channel/UCsFZTfk-d7uJeGuZWKj69jw/videos,,"Rs. 6,250.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAInter2022SyllabusFinancialAccountingFullCourseByMEPLClassesCAAdityaDaima_1024x1024.jpg?v=1741428611,Video Lectures + Study Materials (2 Books),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 5,438.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-inter-2022-syllabus-financial-accounting-by-ca-aditya-daima,"3 Months / 6 Months / 9,Months / 12 Months,from the date of activation or exam term whichever is earlier (Further Extension Not Allowed)",Hindi-English Mix
"CMA Inter 2022 Syllabus Business Laws And Ethics, Financial Accounting and Cost Accounting Full Course Combo By MEPL Classes CA Divya Agarwal, CA Aditya Daima and CA Manoj Sharma in 500 Hrs. These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,"CMA Inter 2022 Syllabus Business Laws And Ethics, Financial Accounting and Cost Accounting Full Course Combo By MEPL Classes CA Divya Agarwal, CA Aditya Daima and CA Manoj Sharma","Google Drive with Soft Copy,Mobile App with Soft Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/channel/UCsFZTfk-d7uJeGuZWKj69jw/videos,,"Rs. 16,250.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAInter2022SyllabusBusinessLawsAndEthics_FinancialAccountingandCostAccountingFullCourseComboByMEPLClassesCADivyaAgarwal_CAAdityaDaimaandCA_1024x1024.jpg?v=1741428606,Video Lectures + Study Materials (8 Books),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 14,138.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-inter-2022-syllabus-laws-financial-acc-cost-acc-by-mepl-classes,"90/180/270/365 Days,from the date of activation or exam term whichever is earlier (Further Extension Not Allowed)",Hindi-English Mix
"MEPL Classes is India's topmost global provider of diverse education and training programs which includes professional courses for Postgraduate or Undergraduate students. Over the years MEPL Classes have expanded all over India. It is the best CA, CS & CMA coaching institute in Kolkata and provides the best CA, CS & CMA classes all over India. The students find the classes hard to miss because of the innovative and passionate teaching style full of positive energy, knowledge, and enthusiasm. MEPL Classes is the most excellent for CA, CS & CMA in Kolkata for Face to Face classes and all over India for Direct to Home classes (D2H) / best Pen drive mode / best Online classes. Quality / Style of teaching is unmatchable, maximum ranks/ pass percentage is from our Institute. The coaching is very well planned & exhaustive and also fulfills their commitment to completing the syllabus on time.",,MEPL Classes,,"CMA Inter 2022 Syllabus Law, Audit, Financial Accounting, Corporate Accounting and OM SM Full Course Combo By MEPL Classes","Google Drive with Soft Copy,Mobile App with Soft Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/channel/UCsFZTfk-d7uJeGuZWKj69jw/videos,,"Rs. 19,950.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAInter2022SyllabusLaw_Audit_FinancialAccounting_CorporateAccountingandOMSMFullCourseComboByMEPLClasses_c8be1aee-6e5d-4d19-a1d0-b21383f755e9_1024x1024.jpg?v=1741428605,Video Lectures + Study Materials (10 Books),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 17,357.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-inter-2022-syllabus-law-audit-fin-acc-corp-acc-om-sm-by-mepl,"90/180/270/365 Days,from the date of activation or exam term whichever is earlier (Further Extension Not Allowed)",Hindi-English Mix
"MEPL Classes is India's topmost global provider of diverse education and training programs which includes professional courses for Postgraduate or Undergraduate students. Over the years MEPL Classes have expanded all over India. It is the best CA, CS & CMA coaching institute in Kolkata and provides the best CA, CS & CMA classes all over India. The students find the classes hard to miss because of the innovative and passionate teaching style full of positive energy, knowledge, and enthusiasm. MEPL Classes is the most excellent for CA, CS & CMA in Kolkata for Face to Face classes and all over India for Direct to Home classes (D2H) / best Pen drive mode / best Online classes. Quality / Style of teaching is unmatchable, maximum ranks/ pass percentage is from our Institute. The coaching is very well planned & exhaustive and also fulfills their commitment to completing the syllabus on time.",,MEPL Classes,,CMA Inter 2022 Syllabus Group 1 Full Course Combo By MEPL Classes,"Google Drive with Soft Copy,Mobile App with Soft Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/channel/UCsFZTfk-d7uJeGuZWKj69jw/videos,,"Rs. 21,000.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAInter2022SyllabusGroup1FullCourseComboByMEPLClasses_1024x1024.jpg?v=1741428603,Video Lectures + Study Materials (10 Books),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 18,270.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-inter-2022-syllabus-group-1-full-course-combo-by-mepl-classes,"90/180/270/365 Days,from the date of activation or exam term whichever is earlier (Further Extension Not Allowed)",Hindi-English Mix
"ACCA Professional Level Strategic Business Reporting (SBR) Fast Track By Pankaj Dhingra in 43 Hrs. These lectures are beneficial till June-24, Sep-24, Dec-24, Mar-25 attempts. Study materials will be provided with the same.",YouTube,FinTram Global,,ACCA Professional Level Strategic Business Reporting (SBR) Fast Track By Pankaj Dhingra (Hindi / English),Google Drive with Soft Copy,https://www.youtube.com/watch?v=%20QWQPbswng0&list=PLqNVtyFg_CZuIl%20AfMP4Yh7PXIj5SlEDp&index=11,,"Rs. 19,990.00",Email,43 Hrs (65 lectures),,//zeroinfy.in/cdn/shop/products/ACCAProfessionalLevelStrategicBusinessReporting_SBR_FastTrackByPankajDhingra_1024x1024.jpg?v=1665579267,Video Lectures + Study Materials (Printable Digital Copy),Google Drive,,,,"Rs. 15,990.00",0.00,Latest,"Computer / Laptop:,Processor: Core 2 Duo 1.5 GHz and above, Celeron Dual Core 1.5 GHZ and above, Intel Atom Quad Core 1.5 GHz and above. (Ram: 1.5 GB free memory)Operating System: Windows 7 Home Premium Service Pack 1 or above, Windows 8, 8.1, Windows 10. (NOT Compatible With Windows XP, Windows Vista, Windows 7 Starter, Windows 7 Basic, Windows 7 N Edition, Windows 7 KN Edition. (Connection to external Devices is not allowed to play the lectures (example. HDD, External Screen, TV, etc.). In the case of Mac Books, You would need to install windows dual boot operating system through the Bootcamp application and need to choose windows to install and view our sessions. Our sessions do not work on iPhones and IPads.,Mobile:,You would need Android Version 6.0 and above minimum RAM 3GB, Internal Storage 32GBPlease note that Motorola Device is not compatible with the software.",0,One Windows Computer / Laptop + One Android Device (One device at a time) except Motorola Device,English,"Mobile: 8882677955,Mail: support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/acca-professional-sbr-fast-track-by-pankaj-dhingra,3 Months from the date of activation,Complete English | Hindi-English Mix
"ACCA Professional Level Advanced Performance Management (APM) Revision Boot Camp By Vishnu Vijay in 22 lectures. These lectures are beneficial till June-24, Sep-24, Dec-24, Mar-25 attempts. Study materials will be provided with the same.",YouTube,FinTram Global,,ACCA Professional Level Advanced Performance Management (APM) Revision Boot Camp In English By Vishnu Vijay,Google Drive with Soft Copy,https://www.youtube.com/watch?v=ohcv1BwWtag&list=PLqNVtyFg_CZuIl%20AfMP4Yh7PXIj5SlEDp&index=12,,,Email,20 Hrs (22 lectures),,//zeroinfy.in/cdn/shop/files/ACCAProfessionalLevelAdvancedPerformanceManagement_APM_RevisionBootCampInEnglishByVishnuVijay_1024x1024.jpg?v=1691247502,Video Lectures + Study Materials (Printable Digital Copy),Google Drive,,,,"Rs. 5,990.00",0.00,Latest,"Computer / Laptop:,Processor: Core 2 Duo 1.5 GHz and above, Celeron Dual Core 1.5 GHZ and above, Intel Atom Quad Core 1.5 GHz and above. (Ram: 1.5 GB free memory)Operating System: Windows 7 Home Premium Service Pack 1 or above, Windows 8, 8.1, Windows 10. (NOT Compatible With Windows XP, Windows Vista, Windows 7 Starter, Windows 7 Basic, Windows 7 N Edition, Windows 7 KN Edition. (Connection to external Devices is not allowed to play the lectures (example. HDD, External Screen, TV, etc.). In the case of Mac Books, You would need to install windows dual boot operating system through the Bootcamp application and need to choose windows to install and view our sessions. Our sessions do not work on iPhones and IPads.,Mobile:,You would need Android Version 6.0 and above minimum RAM 3GB, Internal Storage 32GBPlease note that Motorola Device is not compatible with the software.",0,One Windows Computer / Laptop + One Android Device (One device at a time) except Motorola Device,English,"Mobile: 8882677955,Mail: support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/acca-professional-apm-revision-boot-camp-by-vishnu-vijay,3 Months from the date of activation,English
"CA Divya Agarwal, CA Manoj Sharma",,MEPL Classes,,CMA Final Group 3 All Papers Except DT Combo By MEPL Classes,"Google Drive with Soft Copy,Mobile App with Soft Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/playlist?list=PL1ytxhBe1IJKKSdVmLQOIkcxhLD6SO0_F,,"Rs. 14,450.00",Mail: d2hclasses@mohitsir.com,435 Hrs (290 lectures),,//zeroinfy.in/cdn/shop/files/CMAFinalGroup3AllPapersExceptDTComboByMEPLClasses_1024x1024.jpg?v=1741428597,Video Lectures + Study Materials (5 Hard Copy Books),Google Drive | Pen Drive,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 12,572.00",0.00,Latest,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-final-group-3-all-papers-except-dt-combo-by-mepl-classes,"90/180/270/365/455 Days,from date of installation or exam term whichever is earlier (Further Extension Is Not Possible)",Hindi-Engish Mix
"CA Satish Jalan, CA Abhimannyu Agarwal and CA Satish Sureka",,Satish Jalan Classes,,CMA Inter Group 2 Full Course By Satish Jalan Classes,"Google Drive with Hard Copy,Pen Drive with Hard Copy",,,"Rs. 29,499.00",Telegram / Call,Standard Duration with 100% Syllabus Coverage,,//zeroinfy.in/cdn/shop/files/CMAInterGroup2FullCourseBySatishJalanClasses_1024x1024.jpg?v=1739542705,Video Lectures + Study Materials (Hard Copy Books),Google Drive | Pen Drive,,,,"Rs. 26,599.00",0.00,Latest (Relevant For Upcoming Exam Attempts),"Laptop,: Windows 7, Windows 8.1, or Windows 10 with the latest updates | 4GB RAM and Minimum 100 MB hard disk space | Graphic card driver up to date | Media features and windows media player should be available | Some AMD processors are not supported,Mobile:,Android 6.0 & Above |,Motorola and rooted android,devices are,not supported.",0,Laptop / Mobile,English,"Mobile -,8100112222,Email at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-inter-group-2-full-course-by-satish-jalan-classes,Till The Exam Term,Hindi-English Mix
,Already included in lectures,ACE Tutorials,,"CS Professional All Subjects (Without 9.8) Full Course By Prof Karan, Prof Bhadresh, Prof Jimit, Prof Jinesh, Prof Namrata, Prof Harsh and Prof Naresh","Online with Soft Copy,Google Drive with Soft Copy",https://www.youtube.com/watch?v=XZon7uWV1Qo&list=PL54dtlOw3IntqzUUz3jrjc86-J10poGtA&index=1,,"Rs. 38,900.00",WhatsApp Group,500 Hours,,//zeroinfy.in/cdn/shop/products/CSProfessionalAllSubjects_Without9.8_FullCourseByProfKaran_ProfBhadresh_ProfJimit_ProfJinesh_ProfNamrata_ProfHarshandProfNaresh_1024x1024.jpg?v=1657351956,Video Lectures + Study Materials (Digital Books),Online | Google Drive,,,,"Rs. 25,900.00",0.00,2021-2022,,0,Computer / Laptop / Mobile,"English,English","Mobile -,8017467202,Email at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cs-professional-all-subjects-without-9-8-by-ace-tutorials,31st Dec 2022,Hindi-English Mix
,Already included in lectures,ACE Tutorials,,CS Executive Paper 4 Tax Laws Full Course By Prof Jimit and Prof Jinesh,"Online with Soft Copy,Google Drive with Soft Copy",https://youtu.be/86gD_iAJ7_s?list=PL54dtlOw3IntkK3HIaWGPrPDc7sHL6V_N,,"Rs. 12,000.00",WhatsApp Group,90 Hours,,//zeroinfy.in/cdn/shop/products/CSExecutivePaper4TaxLawsFullCourseByProfJimitandProfJinesh_1024x1024.jpg?v=1657351801,Video Lectures + Study Materials (Digital Books),Online | Google Drive,,,,"Rs. 6,000.00",0.00,2021-2022,,0,Computer / Laptop / Mobile,"English,English","Mobile -,8017467202,Email at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cs-executive-paper-4-tax-laws-by-prof-jimit-and-prof-jinesh,31st Dec 2022,Hindi-English Mix
,Already included in lectures,ACE Tutorials,,"CS Executive Module I Combo Full Course By Prof Jimit, Prof Bhadresh, Prof Jinesh","Online with Soft Copy,Google Drive with Soft Copy",https://youtu.be/TolgtxZYdtA?list=PL54dtlOw3IntkK3HIaWGPrPDc7sHL6V_N,,"Rs. 24,900.00",WhatsApp Group,255 Hours,,//zeroinfy.in/cdn/shop/products/CSExecutiveModuleIComboFullCourseByProfJimit_ProfBhadresh_ProfJinesh_1024x1024.jpg?v=1657351696,Video Lectures + Study Materials (Digital Books),Online | Google Drive,,,,"Rs. 14,900.00",0.00,2021-2022,,0,Computer / Laptop / Mobile,"English,English","Mobile -,8017467202,Email at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cs-executive-module-i-by-prof-jimit-prof-bhadresh-prof-jinesh,31st Dec 2022,Hindi-English Mix
,Already included in lectures,ACE Tutorials,,CS Executive Paper 5 Corporate & Management Accounting Full Course By Prof Naresh and Prof Samir,"Online with Soft Copy,Google Drive with Soft Copy",https://youtu.be/w3nx1a_AcAk?list=PL54dtlOw3IntkK3HIaWGPrPDc7sHL6V_N,,"Rs. 12,000.00",WhatsApp Group,100 Hours,,//zeroinfy.in/cdn/shop/products/CSExecutivePaper5Corporate_ManagementAccountingFullCourseByProfNareshandProfSamir_1024x1024.jpg?v=1657351820,Video Lectures + Study Materials (Digital Books),Online | Google Drive,,,,"Rs. 6,000.00",0.00,2021-2022,,0,Computer / Laptop / Mobile,"English,English","Mobile -,8017467202,Email at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cs-executive-corporate-management-acc-prof-naresh-prof-samir,31st Dec 2022,Hindi-English Mix
,Already included in lectures,ACE Tutorials,,CS Executive Paper 8 Financial and Strategic Management Full Course By Prof Naresh,"Online with Soft Copy,Google Drive with Soft Copy",https://youtu.be/MAtKbhX8R1o?list=PL54dtlOw3IntkK3HIaWGPrPDc7sHL6V_N,,"Rs. 12,000.00",WhatsApp Group,95 Hours,,//zeroinfy.in/cdn/shop/products/CSExecutivePaper8FinancialandStrategicManagementFullCourseByProfNaresh_1024x1024.jpg?v=1657351917,Video Lectures + Study Materials (Digital Books),Online | Google Drive,,,,"Rs. 6,000.00",0.00,2021-2022,,0,Computer / Laptop / Mobile,"English,English","Mobile -,8017467202,Email at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cs-executive-paper-8-financial-and-strategic-management-by-prof-naresh,31st Dec 2022,Hindi-English Mix
